"","X","x1","x2","x3","p1","p2","p3","ev","ev_var","coefvar","entropy","std_prb","std_out","type","rare","HorL"
"52","S13G4",-2,-12,0,0.29,0.363157894736842,0.346842105263158,-4.93789473684211,29.3341579055865,1.09684430603931,0.336283102493075,0.0384042260678526,6.42910050732864,"l_lvar",FALSE,"H"
"53","S14G1",2,0,18,0.35,0.344736842105263,0.305263157894737,6.19473684210526,62.2593279736137,1.27373579125495,0.334529085872576,0.0244515085346779,9.8657657246325,"w_hvar",FALSE,"H"
"54","S14G2",4,2,18,0.71,0.118947368421053,0.171052631578947,6.15684210526316,29.6400742115028,0.884263354169402,0.547507479224377,0.327241612490713,8.71779788708135,"w_lvar",FALSE,"H"
"55","S14G3",-1,-23,0,0.62,0.187368421052632,0.192631578947368,-4.92947368421053,74.4423830138116,1.75028826515205,0.456613850415513,0.248274562815222,13,"l_hvar",FALSE,"H"
"56","S14G4",-8,-11,0,0.26,0.253684210526316,0.486315789473684,-4.87052631578947,23.8014842300557,1.00167336487282,0.368458725761773,0.132524323104175,5.68624070307733,"l_lvar",FALSE,"H"
"57","S15G1",0,1,18,0.35,0.344736842105263,0.305263157894737,5.83947368421053,65.571016285302,1.38669915786968,0.334529085872576,0.0244515085346779,10.1159939369957,"w_hvar",FALSE,"H"
"58","S15G2",7,13,0,0.74,0.06,0.2,5.96,10.7342815914244,0.549718347391194,0.5912,0.359072880253206,6.50640709864771,"w_lvar",TRUE,"H"
"59","S15G3",-2,-24,0,0.68,0.157894736842105,0.162105263157895,-5.14947368421053,65.5815295815296,1.57263496673422,0.513608864265928,0.300229521310442,13.3166562369588,"l_hvar",FALSE,"H"
"60","S15G4",-8,-11,0,0.23,0.277894736842105,0.492105263157895,-4.89684210526316,24.5104102246959,1.01101870178698,0.372293074792244,0.139570307477827,5.68624070307733,"l_lvar",FALSE,"H"
"61","S16G1",1,23,18,0.74,0.0894736842105264,0.170526315789474,5.86736842105263,67.356215213358,1.39876732553027,0.584684764542936,0.354507708808711,11.5325625946708,"w_hvar",TRUE,"H"
"62","S16G2",5,1,18,0.68,0.178947368421053,0.141052631578947,6.1178947368421,25.5788497217069,0.826682044485306,0.514318005540166,0.300819441033016,8.88819441731559,"w_lvar",FALSE,"H"
"63","S16G3",-2,-24,0,0.71,0.142105263157895,0.147894736842105,-4.83052631578948,61.6334776334776,1.62522645938699,0.54616675900277,0.326215745841182,13.3166562369588,"l_hvar",FALSE,"H"
"64","S16G4",-5,-13,0,0.71,0.113157894736842,0.176842105263158,-5.02105263157895,11.5194805194805,0.67596105262443,0.54817783933518,0.327753341708248,6.557438524302,"l_lvar",FALSE,"H"
"65","S17G1",6,23,0,0.23,0.2,0.57,5.98,79.110707070707,1.48736120339583,0.4178,0.205507501890645,11.9303534454489,"w_hvar",FALSE,"H"
"66","S17G2",6,12,0,0.47,0.254736842105263,0.275263157894737,5.87684210526316,19.0871985157699,0.743407730052712,0.361560664819945,0.118800950094289,6,"w_lvar",FALSE,"H"
"67","S17G3",0,-1,-18,0.47,0.261578947368421,0.268421052631579,-5.09315789473684,61.0713254998969,1.53437506762357,0.361373407202216,0.11840623688996,10.1159939369957,"l_hvar",FALSE,"H"
"68","S17G4",-7,-13,0,0.32,0.214736842105263,0.465263157894737,-5.03157894736842,26.7546897546898,1.0280060446887,0.364981717451524,0.125794244936305,6.50640709864771,"l_lvar",FALSE,"H"
"69","S18G1",1,23,18,0.74,0.141052631578947,0.118947368421053,6.12526315789474,76.3265306122449,1.42630698537791,0.58164432132964,0.352357054701837,11.5325625946708,"w_hvar",FALSE,"H"
"70","S18G2",6,12,0,0.59,0.209473684210526,0.200526315789474,6.05368421052632,14.6938775510204,0.633210992957687,0.432190027700831,0.222324868567933,6,"w_lvar",FALSE,"H"
"71","S18G3",-1,-23,0,0.62,0.190526315789474,0.189473684210526,-5.0021052631579,77.5289631003917,1.76026948804575,0.45660055401662,0.24826117364913,13,"l_hvar",FALSE,"H"
"72","S18G4",-4,-12,0,0.68,0.174736842105263,0.145263157894737,-4.81684210526316,12.7280972995259,0.740660753764373,0.514034349030471,0.300583612075856,6.11010092660779,"l_lvar",FALSE,"H"
"73","S19G1",0,1,18,0.38,0.304210526315789,0.315789473684211,5.98842105263158,67.1595547309833,1.36848983407023,0.33666703601108,0.0408270907471191,10.1159939369957,"w_hvar",FALSE,"H"
