,gid,domain,pairtype,ev_diff,L_id,L_x1,L_x2,L_x3,L_p1,L_p2,L_p3,L_ev,L_ev_var,H_id,H_x1,H_x2,H_x3,H_p1,H_p2,H_p3,H_ev,H_ev_var,prop_H_all,prop_H_all_old,prop_H_all_yng,prop_H_g1,prop_H_g1_old,prop_H_g1_yng,prop_H_g2,prop_H_g2_old,prop_H_g2_yng,ss_all,ss_all_old,ss_all_yng,ss_med_all,ss_med_old,ss_med_yng,ss_g1,ss_g1_old,ss_g1_yng,ss_g2,ss_g2_old,ss_g2_yng,sf_all,sf_all_old,sf_all_yng,sf_g1,sf_g1_old,sf_g1_yng,sf_g2,sf_g2_old,sf_g2_yng
0,S20G2,gain,HL-LH,1.14526315789,41.0,1.0,23.0,18.0,0.8,0.11578947368,0.08421052631,4.97894736842,63.1910946197,30.0,4.0,12.0,0.0,0.23,0.43368421052,0.33631578947,6.12421052632,28.8369408369,0.6129032258,0.63333333333,0.59375,0.71428571428,0.71428571428,0.71428571428,0.58333333333,0.60869565217,0.56,24.3571428571,20.0285714286,28.6857142857,18.0,17.0,18.0,16.125,13.3333333333,19.7142857143,26.7962962963,22.3461538462,30.9285714286,0.27300034533,0.3065923586,0.24144421164,0.81124338624,0.82142857142,0.7996031746,0.1082320675,0.12751889327,0.09117064469
12,S11G2,gain,HL-LH,1.15052631579,24.0,1.0,23.0,0.0,0.62,0.18210526315,0.19789473684,4.80842105263,74.4423830138,38.0,9.0,12.0,0.0,0.38,0.21157894736,0.40842105263,5.95894736842,25.8979591837,0.74285714285,0.74285714285,0.74285714285,0.625,0.77777777777,0.42857142857,0.77777777777,0.73076923076,0.82142857142,25.7571428571,24.6857142857,26.8285714286,18.5,18.0,20.0,14.25,13.1111111111,15.7142857143,29.1666666667,28.6923076923,29.6071428571,0.28910507007,0.32431258539,0.25389755475,0.98125,1.0,0.95714285714,0.08402509083,0.09042078803,0.07808622915
38,S8G2,gain,HL-LH,1.20736842105,24.0,1.0,23.0,0.0,0.71,0.18263157894,0.10736842105,4.91052631579,73.6427540713,35.0,7.0,13.0,0.0,0.44,0.23368421052,0.32631578947,6.11789473684,23.6866625438,0.81159420289,0.82352941176,0.8,0.8125,0.88888888888,0.71428571428,0.81132075471,0.8,0.82142857142,25.8714285714,24.7142857143,27.0285714286,18.0,18.0,18.0,11.25,10.8888888889,11.7142857143,30.2037037037,29.5,30.8571428571,0.2662377952,0.29308800226,0.24015473691,0.91145833333,0.91666666666,0.90476190476,0.07145423652,0.06859968307,0.07400294495
9,S16G2,gain,HL-LH,1.28526315789,24.0,1.0,23.0,0.0,0.62,0.18315789473,0.19684210526,4.83263157895,74.4423830138,40.0,5.0,1.0,18.0,0.68,0.17894736842,0.14105263157,6.11789473684,25.5788497217,0.82352941176,0.79411764705,0.85294117647,0.66666666666,0.625,0.71428571428,0.8679245283,0.84615384615,0.88888888888,26.5285714286,23.6,29.4571428571,20.5,20.0,23.0,16.3125,13.4444444444,20.0,29.5555555556,27.1153846154,31.8214285714,0.23059843684,0.25574012081,0.20545675287,0.7398621633,0.73796296296,0.7423039923,0.07970548085,0.0888168293,0.07124494301
46,S10G3,loss,HH-LL,0.715789473684,15.0,-7.0,-13.0,0.0,0.35,0.265789473684,0.384210526316,-5.90526315789,27.3038548753,7.0,-1.0,-23.0,0.0,0.65,0.197368421053,0.152631578947,-5.18947368421,77.8738691353,0.628571428571,0.571428571429,0.685714285714,0.625,0.555555555556,0.714285714286,0.62962962963,0.576923076923,0.678571428571,27.2571428571,28.2285714286,26.2857142857,19.5,19.0,20.0,15.375,16.4444444444,14.0,30.7777777778,32.3076923077,29.3571428571,0.244619826386,0.273321914982,0.21591773779,0.829662698413,0.852733686067,0.8,0.07127379023,0.072756301914,0.069897172237
69,S5G3,loss,HH-LL,0.757368421053,11.0,-4.0,-2.0,-18.0,0.68,0.162105263158,0.157894736842,-5.88631578947,27.3873428159,7.0,-1.0,-23.0,0.0,0.65,0.194736842105,0.155263157895,-5.12894736842,77.8738691353,0.666666666667,0.676470588235,0.657142857143,0.8125,0.777777777778,0.857142857143,0.622641509434,0.64,0.607142857143,25.0428571429,21.4571428571,28.6285714286,19.5,17.0,21.0,13.5625,14.7777777778,12.0,28.4444444444,23.7692307692,32.7857142857,0.286381499177,0.314649073061,0.258113925293,0.823863636364,0.822751322751,0.825293753865,0.127127532603,0.138767525091,0.11631896815
51,S6G3,loss,HH-LL,0.776315789474,16.0,-5.0,-13.0,0.0,0.47,0.268421052632,0.261578947368,-5.83947368421,22.9851576994,14.0,0.0,-1.0,-18.0,0.5,0.231578947368,0.268421052632,-5.06315789474,61.345289631,0.710144927536,0.657142857143,0.764705882353,0.5625,0.444444444444,0.714285714286,0.754716981132,0.730769230769,0.777777777778,26.8142857143,22.4285714286,31.2,19.0,17.0,20.0,17.1875,17.8888888889,16.2857142857,29.6666666667,24.0,34.9285714286,0.271262665307,0.317910300255,0.224615030359,0.787381852431,0.843574635241,0.715133988818,0.118338461715,0.135949568914,0.101985290744
39,S8G3,loss,HH-LL,0.807368421053,22.0,-8.0,-11.0,0.0,0.47,0.2,0.33,-5.96,18.9478787879,2.0,-2.0,-24.0,0.0,0.65,0.160526315789,0.189473684211,-5.15263157895,70.0727961288,0.757142857143,0.742857142857,0.771428571429,0.6875,0.666666666667,0.714285714286,0.777777777778,0.769230769231,0.785714285714,26.9285714286,24.1714285714,29.6857142857,18.5,16.0,24.0,14.9375,13.6666666667,16.5714285714,30.4814814815,27.8076923077,32.9642857143,0.27811945018,0.281889598204,0.274349302157,0.935763888889,0.885802469136,1.0,0.083261838711,0.072842835189,0.092936627695
20,S9G3,loss,HH-LL,0.825263157895,16.0,-5.0,-13.0,0.0,0.5,0.268421052632,0.231578947368,-5.98947368421,21.9554730983,7.0,-1.0,-23.0,0.0,0.77,0.191052631579,0.038947368421,-5.16421052632,76.1158524016,0.608695652174,0.470588235294,0.742857142857,0.5625,0.333333333333,0.857142857143,0.622641509434,0.52,0.714285714286,23.0428571429,20.5428571429,25.5428571429,19.0,16.0,19.0,12.25,12.7777777778,11.5714285714,26.2407407407,23.2307692308,29.0357142857,0.281698983037,0.276790435502,0.286607530571,0.866145833333,0.836111111111,0.904761904762,0.108529545912,0.083179432406,0.132068937024
73,S1G3,loss,HH-LL,0.825263157895,16.0,-5.0,-13.0,0.0,0.56,0.237894736842,0.202105263158,-5.89263157895,19.3951762523,8.0,0.0,-22.0,-18.0,0.74,0.096842105263,0.163157894737,-5.06736842105,73.0018552876,0.63768115942,0.588235294118,0.685714285714,0.8,0.875,0.714285714286,0.592592592593,0.5,0.678571428571,29.5571428571,28.4,30.7142857143,20.0,19.0,20.0,17.6875,15.1111111111,21.0,33.0740740741,33.0,33.1428571429,0.319710647404,0.335881860488,0.30353943432,0.798382552749,0.685620915033,0.943361801242,0.177881934709,0.214818341607,0.14358384259
